name,rating,address,description,openclose
Linea Caffe,4.5(334) · $$,Coffee shop · 3417 18th St,Snug cafe offering organic coffees,Closed ⋅ Opens 7 AM Fri
Bazaar Café,4.6(263) · $,Coffee shop · 5927 California St,"Drinks, live music & global chow",Closes soon ⋅ 2:30 PM ⋅ Reopens 6:30 PM
Saint Frank Coffee,"4.5(1,056) · $$",Coffee shop · 2340 Polk St,Bright & spacious local coffeehouse,Open ⋅ Closes 6 PM
Cafe Francisco,4.4(440) · $,Coffee shop · 2161 Powell St,Mediterranean & American eats plus art,Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri
San Francisco Coffee Company,4.7(12),Coffee roasters · 70 13th St,Open ⋅ Closes 5 PM,
Home Coffee Roasters,4.7(338) · $,Coffee shop · 455 Grant Ave,Open ⋅ Closes 4 PM,
The Coffee Movement,4.8(724) · $,Coffee shop · 1030 Washington St,"Snug, minimalist cafe for artisan brews",Open ⋅ Closes 4 PM
Sextant Coffee Roasters,4.5(595) · $$,Coffee shop · 1415 Folsom St,Coffeehouse with exposed brick & beams,Open ⋅ Closes 4 PM
Caffe Trieste,"4.5(1,318) · $",Coffee shop · 601 Vallejo St.,Historic spot for coffee & live music,Open ⋅ Closes 10 PM
Coffee Bar Montgomery,4.5(113) · $,Coffee shop · 101 Montgomery St,Locally roasted coffee & cafe fare,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri
Red Bay Coffee Ferry Building,4.0(172),"Coffee shop · 1, Ferry Building, Shop 43",Open ⋅ Closes 6 PM,
Grand Coffee,4.7(157) · $,Coffee shop · 2663 Mission St,"Locally sourced coffee, tea & pastries",Open ⋅ Closes 5 PM
Lady Falcon Coffee Club,4.3(87),Coffee shop · Park,Vintage coffee truck for espresso drinks,Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri
Sightglass Coffee,"4.5(2,835) · $$",Coffee shop · 270 7th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
Bluestone Lane Union Square Coffee Shop,4.2(347) · $$,Coffee shop · 685 Market St,Airy spot for coffee & all-day eats,Closed ⋅ Opens 7 AM Fri
Pinhole Coffee,4.7(480) · $$,Coffee shop · 231 Cortland Ave,Storefront coffeehouse with pastry,Open ⋅ Closes 5:30 PM
SPRO - Mission Dolores/Castro,4.7(247),Cafe · 500 Church St,Minimalist cafe brewing craft coffee,Open ⋅ Closes 5 PM
Mazarine Coffee,"4.5(1,511) · $$",Cafe · 720 Market St,Stylish cafe for espresso & light bites,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
CoffeeShop,4.7(232) · $,Coffee shop · 3139 Mission St,Locally roasted beans & sweet treats,Open ⋅ Closes 4 PM
Goody Cafe,4.4(76),"Coffee shop · Landmark Building C, 2 Marina Blvd",Open ⋅ Closes 5 PM,
Rise & Grind Coffee and Tea,4.5(370) · $,Coffee shop · 785 8th Ave,"Modern cafe for coffee, tea & pastries",Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.5(692) · $$,Coffee shop · 2 S Park St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Rise & Grind Coffee and Tea,4.5(370) · $,Coffee shop · 785 8th Ave,"Modern cafe for coffee, tea & pastries",Open ⋅ Closes 5 PM
Peet's Coffee,3.8(24) · $,Coffee shop · 155 Montgomery St #161,Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM
Muddy Waters Coffee House,4.1(292) · $,Coffee shop · 521 Valencia St,No-frills coffee shop,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Caffe Greco,"4.5(1,185) · $$",Cafe · 423 Columbus Ave,Espresso drinks & Italian sweets,Open ⋅ Closes 10 PM
Blue Bottle Coffee,4.1(120) · $$,Cafe · 909 Montgomery St # 105,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Starbucks,3.9(365) · $$,"Coffee shop · Levi's Plaza, 1255 Battery St",Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Philz Coffee,"4.5(1,134) · $$",Coffee shop · 5 Embarcadero Ctr,Custom-blended java in a casual setting,Open ⋅ Closes 6 PM
Blue Bottle Coffee,4.3(692) · $$,"Coffee shop · 1 Ferry Building, 7",Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
Abanico Coffee Roasters,4.8(140) · $,Coffee shop · 2121 Mission St,Easygoing cafe for Latin American drinks,Open ⋅ Closes 4 PM
Fresh Brew Coffee,4.8(494) · $,Cafe · 882 Bush St,"Cozy, American-Vietnamese sandwich spot",Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Coffee Bodega Farm-to-Table,4.7(212),Coffee shop · 1 California St,Open ⋅ Closes 5 PM,
Another Cafe,4.4(454) · $,Cafe · 1191 Pine St,Airy spot for coffee & panini sandwiches,Open ⋅ Closes 8 PM
Souvenir Coffee,4.7(69),Coffee shop · 262 Divisadero St,Open ⋅ Closes 5 PM,
Biscoff Coffee Corner,4.3(721) · $$,Coffee shop · 213 Pier 39,Snug cafe with pastries & smoothies,Open ⋅ Closes 10 PM
Bluestone Lane SOMA Coffee Shop,4.3(74) · $$,Coffee shop · 55 2nd St,Open ⋅ Closes 4 PM,
Wrecking Ball Coffee Roasters,4.4(510) · $$,Coffee shop · 2271 Union St,House-roasted coffee blends & pastries,Closed ⋅ Opens 7 AM Fri
SPRO - Mission Bay/SOMA,4.7(260) · $$,Coffee shop · 601 Mission Bay Boulevard North,Outdoor stop for coffee drinks & eats,Open ⋅ Closes 4 PM
Bernie's,4.5(188) · $,Cafe · 3966 24th St,Coffee & pastries in Victorian building,Closed ⋅ Opens 5:30 AM Fri
Foghorn Coffee,3.8(30),Coffee shop · 900 North Point St Suite E204B,Open ⋅ Closes 7 PM,
Milk-SF,4.7(76),Cafe · 302 Valencia St,Open ⋅ Closes 4 PM,
Jackson Place Café,4.6(73) · $,Coffee shop · 633 Battery St,Breakfast & lunch kiosk with a courtyard,Closes soon ⋅ 2:30 PM ⋅ Opens 8:30 AM Tue
Hermanos Coffee + Juice,4.7(26),Coffee shop · 650 California St,Temporarily closed,
Philz Coffee,"4.5(1,222) · $$",Coffee shop · 1 Front St #100,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Cafe International,4.5(401) · $,Cafe · 508 Haight St,Hybrid coffeehouse & live music hangout,Open ⋅ Closes 4:30 PM
Blue Bottle Coffee,4.6(802) · $$,Coffee shop · 315 Linden St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
Blue Bottle Coffee,"4.4(1,169) · $$",Coffee shop · 115 Sansome St,Hip cafe for gourmet pastries & coffee,Open ⋅ Closes 5 PM
Flywheel Coffee Roasters,4.5(956),Coffee shop · 672 Stanyan St,Minimalist spot for hand-roasted java,Open ⋅ Closes 6 PM
Peet's Coffee,4.3(145) · $,"Coffee shop · Two Embarcadero Center, Front Street Suite R2113",Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM
Philz Coffee,4.4(612) · $$,Coffee shop · 399 Golden Gate Ave,Custom-blended java in a casual setting,Open ⋅ Closes 5:30 PM
The Mill,"4.5(1,765) · $$",Cafe · 736 Divisadero St,Airy coffee shop with breads & pastries,Open ⋅ Closes 5 PM
BeanStalk Cafe,4.4(584) · $,Coffee shop · 724 Bush St,Intimate spot for coffee & global bites,Closes soon ⋅ 2:30 PM ⋅ Opens 8 AM Fri
Cafe Destijl,4.3(52) · $$,Cafe · 1 Union St,Temporarily closed,
Cafe Me,4.6(134) · $,Coffee shop · 500 Washington St #102,Daytime stop for coffee & sandwiches,Closed ⋅ Opens 5:30 AM Fri
Blue Bottle Coffee,4.5(257) · $$,Coffee shop · 168 2nd St,Hip cafe chain for coffee & pastries,Open ⋅ Closes 5 PM
Bluestone Lane Front Street Coffee Shop,4.3(134) · $$,Coffee shop · 227 Front St,Open ⋅ Closes 4 PM,
HITW Coffee,4.7(196) · $,Coffee shop · 524 Union St,Closed ⋅ Opens 9 AM Sat,
Peet's Coffee,4.2(152) · $,Coffee shop · 595 Market St Suite 143,Coffeehouse chain also known for its tea,Open ⋅ Closes 4 PM
Ritual Coffee Roasters,4.5(455) · $$,Coffee shop · 432b Octavia St,Coffeehouse using small-farm beans,Open ⋅ Closes 6 PM
Cup A Joe Coffeehouse,4.3(349) · $,Coffee shop · 896 Sutter St,Laid-back neighborhood coffee shop,Open ⋅ Closes 7 PM
Coffee Cultures,5.0(12),Coffee shop · 655 Montgomery St,Closed ⋅ Opens 7 AM Fri,
Peet's Coffee,4.2(223) · $,Coffee shop · 160 Jefferson St,Coffeehouse chain also known for its tea,Open ⋅ Closes 9 PM
Beacon Coffee & Pantry,4.3(402) · $$,Coffee shop · 805 Columbus Ave,Artisanal coffee shop & specialty market,Closed ⋅ Opens 7:30 AM Fri
Compton’s Coffee House,4.8(163),Coffee shop · 1910 Fillmore St,Open ⋅ Closes 5 PM,
Noe Cafe,4.7(277),Coffee shop · 1299 Sanchez St,Intimate spot for coffee & snacks,Open ⋅ Closes 7 PM
Sightglass Coffee,4.4(473) · $$,Coffee shop · 301 Divisadero St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.3(193) · $$,Coffee shop · 705 Market St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Graffeo Coffee Roasting Co.,4.7(69),Coffee store · 735 Columbus Ave,Coffeehouse with signature roasts,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.7(10) · $$,Coffee shop · 250 Howard St Suite 3A,Hip cafe for gourmet coffee & pastries,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri
Scullery,4.7(345) · $,Coffee shop · 687 Geary St,"Tiny, artsy cafe for coffee & pastries",Closed ⋅ Opens 7 AM Fri
Farley's Coffeehouse,4.6(564) · $,Coffee shop · 1315 18th St,Contemporary cafe for baked fare & lunch,Open ⋅ Closes 6 PM
Jane on Larkin,4.4(632) · $$,Coffee shop · 925 Larkin St,"Hip cafe with sandwiches, coffee & more",Open ⋅ Closes 4 PM
Starbucks,3.7(760) · $$,Coffee shop · 499 Bay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Linea Caffe,4.5(334) · $$,Coffee shop · 3417 18th St,Snug cafe offering organic coffees,Closed ⋅ Opens 7 AM Fri
Peet's Coffee,4.3(462) · $,Coffee shop · 1400 Mission St Suite 130,Coffeehouse chain also known for its tea,Open ⋅ Closes 4 PM
Fillmore Street Cafe,4.2(151) · $,Cafe · 1301 Fillmore St,Casual cafe for deli sandwiches & salads,Open ⋅ Closes 9 PM
Iron Horse Coffee Shop,4.4(107) · $,Coffee shop · 25 Maiden Ln,"Snug, modern coffee shop",Closes soon ⋅ 2:30 PM ⋅ Opens 7:30 AM Fri
Philz Coffee,4.5(917) · $$,Coffee shop · 201 Berry St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Cafe de Casa,4.7(900) · $,Cafe · 2701 Leavenworth St,"Brazilian coffee, pastry & lunch shop",Closed ⋅ Opens 8 AM Fri
Enter The Cafe,4.4(104) · $,Cafe · 1401 Powell St,Bright corner coffee shop with ice cream,Open ⋅ Closes 7 PM
Philz Coffee,"4.6(1,358) · $$",Coffee shop · 3101 24th St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Caffe Capriccio,4.6(233) · $,Coffee shop · 2200 Mason St,Relaxed spot for sandwiches & salads,Open ⋅ Closes 4 PM
Starbucks,4.5(502) · $$,Coffee shop · 201 Mission St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Starbucks,4.1(456) · $$,Coffee shop · 565 Clay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Morning Brew Coffee & Tea,3.6(20) · $$,Cafe · 401 Sansome St,Unassuming stop for banh mi & espresso,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Cavalli Cafe,4.5(263) · $,Cafe · 1441 Stockton St,Espresso bar with Italian treats & music,Open ⋅ Closes 11 PM
Martha & Brothers Coffee Company,4.5(294) · $,Coffee shop · 3868 24th St,Low-key stop for coffee & baked goods,Open ⋅ Closes 7:30 PM
Sweetheart Cafe,4.2(210) · $,Coffee shop · 909 Grant Ave,Light Asian bites & sweet treats,Open ⋅ Closes 7 PM
Starbucks,4.2(205) · $$,Coffee shop · 580 California St #150,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Réveille Coffee Co.,3.8(4),Coffee shop · 768 Sansome St,Temporarily closed,
Hyatt Regency Cafe,5.0(4),"Coffee shop · Hyatt Regency San Francisco, 5 Embarcadero Ctr",,
Starbucks,4.2(493) · $$,Coffee shop · 865 Market Street San Francisco Centre,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7:30 PM
Andytown Coffee Roasters,4.6(189) · $$,"Coffee shop · Rooftop, 181 Fremont Street, Park Level, Fremont St",Open ⋅ Closes 4 PM,
Fueling Station Cafe,4.6(213) · $,Cafe · 2436 Polk St,"Cafe for banh mi, waffles & coffee",Open ⋅ Closes 5 PM
Starbucks,4.2(163) · $$,Coffee shop · 100 1st St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
FRONT EXHIBITS & CAFE,4.7(30),Coffee shop · 498 Alabama St,Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri,
Coit Tower Cafe,3.7(9),Coffee shop · Coit Tower,Open ⋅ Closes 6 PM,
Maggie's Cafe,3.1(104),Cafe · 848 Grant Ave,Open ⋅ Closes 4 PM,
Matching Half,4.5(376) · $$,Coffee shop · 1799 McAllister St,Arty coffee shop with light fare,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Hyatt Coffee Bar,3.7(32),Coffee shop · 345 Stockton St,Modern hotel lobby cafe with free Wi-Fi,Closed ⋅ Opens 6:30 AM Fri
Four Barrel Coffee,"4.5(2,384) · $$",Coffee shop · 375 Valencia St,Sophisticated drip coffee drinks & more,Open ⋅ Closes 5 PM
Snowbird Coffee,4.5(461) · $$,Coffee shop · 1352 9th Ave A,Closed ⋅ Opens 8 AM Fri,
Verve Coffee Roasters,4.4(670) · $$,Coffee shop · 2101 Market St,Modern coffeehouse with artisanal blends,Open ⋅ Closes 6 PM
Schilling & Co Cafe,4.6(48) · $$,Cafe · 667 Commercial St,Closed ⋅ Opens 8 AM Fri,
Starbucks,4.2(187) · $$,Coffee shop · 425 Battery St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5 PM
Viva Cafe,4.9(80),Cafe · 601 Montgomery St,Open ⋅ Closes 5 PM,
Le Petit Cafe,4.3(8) · $,Cafe · 1 Maritime Plz # Grnd,Counter serve for breakfast & lunch fare,Closed ⋅ Opens 8 AM Fri
Coffee Bar-Kearny,5.0(19),Coffee shop · 433 Kearny St,Casual cafe with carefully sourced beans,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri
Starbucks,3.8(255) · $$,Coffee shop · 780 Market St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM
Starbucks,3.8(193) · $$,Coffee shop · 99 Jackson St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Telescope Coffee,4.8(132),Coffee shop · 345 6th St,Temporarily closed,
Seismic Joint,2.8(22),"Cafe · Pier 15, 698 The Embarcadero",Museum cafe with coffee & sweet treats,Open ⋅ Closes 5 PM
Stanza Coffee Bar,4.2(204) · $,Coffee shop · 1673 Haight St,Upbeat nook serving espresso & pastries,Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri
Piccino Coffee Bar & Bakery,4.4(138),Cafe · 845 22nd St,Open ⋅ Closes 5:30 PM,
The Morning Fix,4.6(68) · $,Cafe · 1008 Bush St,"Pit stop for coffee, bagels & sandwiches",Closed ⋅ Opens 7 AM Fri
901 Columbus,4.3(277) · $,Cafe · 901 Columbus Ave,Casual cafe with a daily happy hour,Open ⋅ Closes 8 PM
Cafe Réveille,4.4(725) · $$,Cafe · 610 Long Bridge Street,Coffee & brunch in stylish surrounds,Open ⋅ Closes 5 PM
Daily Habit,4.9(13),Coffee shop · 1 Maritime Plz,Closed ⋅ Opens 6 AM Fri,
Philz Coffee,4.5(919) · $$,Coffee shop · 549 Castro St,Custom-blended java in a casual setting,Open ⋅ Closes 6 PM
Starbucks,4.1(435) · $$,Coffee shop · 49 Jefferson St P,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
